Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,231.5,232.5,231.0,232.5,213.91253700000001,18055269.0
2018-01-03,236.0,238.0,235.5,237.0,218.052811,29308091.0
2018-01-04,240.0,240.0,236.5,239.5,220.352921,29096613.0
2018-01-05,240.0,240.0,238.0,240.0,220.81294300000002,22438255.0
2018-01-08,242.0,242.5,240.5,242.0,222.65306099999998,20233692.0
2018-01-09,242.0,242.0,239.5,242.0,222.65306099999998,19043123.0
2018-01-10,241.5,242.0,236.0,236.5,217.592773,23631220.0
2018-01-11,235.0,236.0,232.5,235.0,216.212692,30446338.0
2018-01-12,234.5,238.0,233.5,237.0,218.052811,21513291.0
2018-01-15,240.0,240.0,238.0,240.0,220.81294300000002,27476533.0
2018-01-16,240.0,240.5,238.0,240.5,221.27298,21691632.0
2018-01-17,240.5,243.0,239.0,242.0,222.65306099999998,38046119.0
2018-01-18,245.0,250.0,245.0,248.5,228.633408,49896952.0
2018-01-19,253.5,255.5,251.5,255.5,235.073792,50549292.0
2018-01-22,257.5,262.0,257.0,261.5,240.594116,43400509.0
2018-01-23,262.5,266.0,262.5,266.0,244.73436,33527444.0
2018-01-24,263.0,263.0,256.5,258.0,237.373932,41874813.0
2018-01-25,258.0,264.0,256.5,258.0,237.373932,44643756.0
2018-01-26,256.5,257.5,253.5,255.0,234.61377000000002,39555523.0
2018-01-29,259.0,261.5,255.0,258.5,237.833969,30071234.0
2018-01-30,256.0,257.5,252.5,253.0,232.77366600000002,36860591.0
2018-01-31,253.0,257.5,252.0,255.0,234.61377000000002,44136808.0
2018-02-01,257.5,261.0,257.0,259.5,238.754013,30559457.0
2018-02-02,259.0,260.0,255.0,259.5,238.754013,25707560.0
2018-02-05,251.0,254.5,250.5,253.0,232.77366600000002,45594379.0
2018-02-06,242.5,243.5,234.0,239.0,219.89291400000002,102409048.0
2018-02-07,245.0,245.5,239.5,240.0,220.81294300000002,80063178.0
2018-02-08,239.5,242.0,238.0,238.5,219.432877,30989550.0
2018-02-09,230.0,233.0,228.5,232.5,213.91253700000001,65735265.0
2018-02-12,235.5,237.5,235.0,236.5,217.592773,35635236.0
